,focal_pid,pubt,journal,Q,IF,citations
0,38078611,2024,current opinion in gastroenterology,Q2,2.6,1
1,38190352,2024,current opinion in gastroenterology,Q2,2.6,0
2,38967933,2024,current opinion in gastroenterology,Q2,2.6,0
3,38294885,2024,current opinion in gastroenterology,Q2,2.6,1
4,38193299,2024,current opinion in gastroenterology,Q2,2.6,3
5,38190346,2024,current opinion in gastroenterology,Q2,2.6,0
6,38935336,2024,current opinion in gastroenterology,Q2,2.6,0
7,39110099,2024,current opinion in gastroenterology,Q2,2.6,0
8,38353234,2024,current opinion in gastroenterology,Q2,2.6,0
9,38190349,2024,current opinion in gastroenterology,Q2,2.6,0
10,38078609,2024,current opinion in gastroenterology,Q2,2.6,0
11,38320197,2024,current opinion in gastroenterology,Q2,2.6,0
12,38662405,2024,current opinion in gastroenterology,Q2,2.6,0
13,38662539,2024,current opinion in gastroenterology,Q2,2.6,0
14,38375823,2024,current opinion in gastroenterology,Q2,2.6,1
15,38606783,2024,current opinion in gastroenterology,Q2,2.6,1
16,38662451,2024,current opinion in gastroenterology,Q2,2.6,0
17,37942659,2024,current opinion in gastroenterology,Q2,2.6,3
18,38967932,2024,current opinion in gastroenterology,Q2,2.6,0
19,38662363,2024,current opinion in gastroenterology,Q2,2.6,0
20,38935298,2024,current opinion in gastroenterology,Q2,2.6,0
21,38662476,2024,current opinion in gastroenterology,Q2,2.6,0
22,39360696,2024,current opinion in gastroenterology,Q2,2.6,0
23,38429432,2024,gene therapy,Q2,4.6,0
24,38528117,2024,gene therapy,Q2,4.6,1
25,39333408,2024,gene therapy,Q2,4.6,0
26,38658672,2024,gene therapy,Q2,4.6,0
27,37699965,2024,gene therapy,Q2,4.6,1
28,37542151,2024,gene therapy,Q2,4.6,5
29,38839888,2024,gene therapy,Q2,4.6,1
30,37880336,2024,gene therapy,Q2,4.6,0
31,39256611,2024,gene therapy,Q2,4.6,0
32,38684788,2024,gene therapy,Q2,4.6,0
33,38177343,2024,gene therapy,Q2,4.6,1
34,37558852,2024,gene therapy,Q2,4.6,4
35,39069561,2024,gene therapy,Q2,4.6,1
36,38012299,2024,gene therapy,Q2,4.6,3
37,39306629,2024,gene therapy,Q2,4.6,0
38,39384937,2024,gene therapy,Q2,4.6,0
39,39039203,2024,gene therapy,Q2,4.6,0
40,38374348,2024,gene therapy,Q2,4.6,3
41,39572769,2024,gene therapy,Q2,4.6,0
42,39123068,2024,journal of human genetics,Q2,2.6,0
43,39523437,2024,journal of human genetics,Q2,2.6,0
44,38135707,2024,journal of human genetics,Q2,2.6,0
45,37907557,2024,journal of human genetics,Q2,2.6,2
46,38811808,2024,journal of human genetics,Q2,2.6,0
47,38321215,2024,journal of human genetics,Q2,2.6,1
48,39663357,2024,journal of human genetics,Q2,2.6,0
49,38200111,2024,journal of human genetics,Q2,2.6,0
50,38664537,2024,journal of human genetics,Q2,2.6,0
51,38448605,2024,journal of human genetics,Q2,2.6,0
52,39414990,2024,journal of human genetics,Q2,2.6,0
53,38528049,2024,journal of human genetics,Q2,2.6,1
54,38374165,2024,journal of human genetics,Q2,2.6,0
55,38454133,2024,journal of human genetics,Q2,2.6,1
56,37993639,2024,journal of human genetics,Q2,2.6,0
57,38429412,2024,journal of human genetics,Q2,2.6,1
58,38012394,2024,journal of human genetics,Q2,2.6,2
59,38409498,2024,journal of human genetics,Q2,2.6,0
60,38355957,2024,journal of human genetics,Q2,2.6,0
61,39695270,2024,journal of human genetics,Q2,2.6,0
62,38589508,2024,journal of human genetics,Q2,2.6,0
63,37950019,2024,journal of human genetics,Q2,2.6,0
64,39155345,2024,journal of human genetics,Q2,2.6,0
65,38619207,2024,chempluschem,Q2,3.0,0
66,39302824,2024,chempluschem,Q2,3.0,0
67,38984751,2024,chempluschem,Q2,3.0,0
68,37882979,2024,chempluschem,Q2,3.0,1
69,38691830,2024,chempluschem,Q2,3.0,1
70,39259034,2024,chempluschem,Q2,3.0,0
71,39655502,2024,chempluschem,Q2,3.0,0
72,39104329,2024,chempluschem,Q2,3.0,0
73,37937471,2024,chempluschem,Q2,3.0,1
74,37916533,2024,chempluschem,Q2,3.0,0
75,38847398,2024,chempluschem,Q2,3.0,0
76,38958247,2024,chempluschem,Q2,3.0,1
77,39392064,2024,chempluschem,Q2,3.0,0
78,38340361,2024,chempluschem,Q2,3.0,0
79,38760894,2024,chempluschem,Q2,3.0,0
80,38625893,2024,chempluschem,Q2,3.0,0
81,38837329,2024,chempluschem,Q2,3.0,0
82,38452282,2024,chempluschem,Q2,3.0,3
83,38355897,2024,chempluschem,Q2,3.0,0
84,38230921,2024,chempluschem,Q2,3.0,0
85,39051905,2024,chempluschem,Q2,3.0,0
86,39196606,2024,chempluschem,Q2,3.0,1
87,38308611,2024,chempluschem,Q2,3.0,0
88,38291001,2024,chempluschem,Q2,3.0,0
89,37926688,2024,chempluschem,Q2,3.0,0
90,39008605,2024,journal of clinical gastroenterology,Q2,2.8,0
91,39495800,2024,journal of clinical gastroenterology,Q2,2.8,0
92,37436842,2024,journal of clinical gastroenterology,Q2,2.8,0
93,38967382,2024,journal of clinical gastroenterology,Q2,2.8,0
94,37983734,2024,journal of clinical gastroenterology,Q2,2.8,1
95,37668412,2024,journal of clinical gastroenterology,Q2,2.8,2
96,37436837,2024,journal of clinical gastroenterology,Q2,2.8,0
97,39365834,2024,journal of clinical gastroenterology,Q2,2.8,0
98,37682003,2024,journal of clinical gastroenterology,Q2,2.8,1
99,36867500,2024,journal of clinical gastroenterology,Q2,2.8,0
100,39212998,2024,journal of clinical gastroenterology,Q2,2.8,0
101,39621380,2024,journal of clinical gastroenterology,Q2,2.8,0
102,37436831,2024,journal of clinical gastroenterology,Q2,2.8,1
103,38019081,2024,journal of clinical gastroenterology,Q2,2.8,2
104,39331507,2024,journal of clinical gastroenterology,Q2,2.8,0
105,39008569,2024,journal of clinical gastroenterology,Q2,2.8,1
106,37279281,2024,journal of clinical gastroenterology,Q2,2.8,5
107,38687161,2024,journal of clinical gastroenterology,Q2,2.8,1
108,39008571,2024,journal of clinical gastroenterology,Q2,2.8,0
109,39213008,2024,journal of clinical gastroenterology,Q2,2.8,0
110,38683239,2024,journal of clinical gastroenterology,Q2,2.8,0
111,38567887,2024,journal of clinical gastroenterology,Q2,2.8,0
112,37522752,2024,journal of clinical gastroenterology,Q2,2.8,4
113,39634635,2024,acs physical chemistry au,Q2,3.7,0
114,38283787,2024,acs physical chemistry au,Q2,3.7,0
115,38283784,2024,acs physical chemistry au,Q2,3.7,0
116,39346604,2024,acs physical chemistry au,Q2,3.7,0
117,39346602,2024,acs physical chemistry au,Q2,3.7,0
118,39634650,2024,acs physical chemistry au,Q2,3.7,0
119,39346607,2024,acs physical chemistry au,Q2,3.7,0
120,38283789,2024,acs physical chemistry au,Q2,3.7,1
121,39346608,2024,acs physical chemistry au,Q2,3.7,0
122,38560749,2024,acs physical chemistry au,Q2,3.7,0
123,38560753,2024,acs physical chemistry au,Q2,3.7,1
124,39634641,2024,acs physical chemistry au,Q2,3.7,0
125,39634644,2024,acs physical chemistry au,Q2,3.7,0
126,39069975,2024,acs physical chemistry au,Q2,3.7,0
127,39069978,2024,acs physical chemistry au,Q2,3.7,0
128,39069982,2024,acs physical chemistry au,Q2,3.7,1
129,39346605,2024,acs physical chemistry au,Q2,3.7,0
130,39634639,2024,acs physical chemistry au,Q2,3.7,0
131,39069985,2024,acs physical chemistry au,Q2,3.7,0
132,38800724,2024,acs physical chemistry au,Q2,3.7,1
133,38560751,2024,acs physical chemistry au,Q2,3.7,0
134,38283785,2024,acs physical chemistry au,Q2,3.7,1
135,38560754,2024,acs physical chemistry au,Q2,3.7,0
136,38800723,2024,acs physical chemistry au,Q2,3.7,0
137,38096737,2024,gait & posture,Q2,2.2,3
138,38039867,2024,gait & posture,Q2,2.2,2
139,38290395,2024,gait & posture,Q2,2.2,1
140,38643633,2024,gait & posture,Q2,2.2,0
141,39675318,2024,gait & posture,Q2,2.2,0
142,37734189,2024,gait & posture,Q2,2.2,1
143,38959555,2024,gait & posture,Q2,2.2,1
144,38678932,2024,gait & posture,Q2,2.2,0
145,38368648,2024,gait & posture,Q2,2.2,1
146,38759589,2024,gait & posture,Q2,2.2,0
147,38917666,2024,gait & posture,Q2,2.2,2
148,38905853,2024,gait & posture,Q2,2.2,0
149,39180927,2024,gait & posture,Q2,2.2,0
150,38458049,2024,gait & posture,Q2,2.2,1
151,38309126,2024,gait & posture,Q2,2.2,0
152,39447427,2024,gait & posture,Q2,2.2,0
153,39662218,2024,gait & posture,Q2,2.2,0
154,37757595,2024,gait & posture,Q2,2.2,1
155,38615566,2024,gait & posture,Q2,2.2,0
156,37271590,2024,gait & posture,Q2,2.2,3
157,39681035,2024,gait & posture,Q2,2.2,0
158,39047411,2024,gait & posture,Q2,2.2,0
159,37976604,2024,gait & posture,Q2,2.2,1
160,39173443,2024,gait & posture,Q2,2.2,0
161,39455252,2024,respiratory care,Q2,2.4,0
162,37935525,2024,respiratory care,Q2,2.4,0
163,38772682,2024,respiratory care,Q2,2.4,1
164,38688549,2024,respiratory care,Q2,2.4,0
165,39256003,2024,respiratory care,Q2,2.4,0
166,39048148,2024,respiratory care,Q2,2.4,1
167,39164052,2024,respiratory care,Q2,2.4,0
168,37935528,2024,respiratory care,Q2,2.4,2
169,38744473,2024,respiratory care,Q2,2.4,0
170,39256004,2024,respiratory care,Q2,2.4,0
171,38866415,2024,respiratory care,Q2,2.4,0
